time;lane_ids;laneDensity;inflow;outflow
28800;1_0;8.28;300;312
28800;1_1;10.43;360;348
28800;10_0;17.18;300;300
28800;10_1;16.05;360;336
28800;100_0;1.41;72;60
28800;101_0;;0;0
28800;102_0;1.11;48;48
28800;103[0]_0;1.48;60;96
28800;103[0]_1;3.07;132;96
28800;103[1].2_0;2.36;96;108
28800;103[1].2_1;1.62;96;72
28800;104.5_0;2.86;108;120
28800;104.5_1;0.87;72;48
28800;105_0;3.13;96;84
28800;105_1;3.82;48;48
28800;106_0;0.88;36;36
28800;107_0;0.65;24;24
28800;107_1;0.26;12;12
28800;108_0;;0;0
28800;108_1;0.32;12;12
28800;109_0;1.35;48;48
28800;109_1;1.06;36;36
28800;11_0;3.31;60;60
28800;11_1;5.45;96;96
28800;110_0;2.28;72;84
28800;110_1;0.62;36;24
28800;111_0;0.73;48;24
28800;111_1;0.11;0;12
28800;112[0]_0;0.48;12;24
28800;112[0]_1;0.12;36;0
28800;112[1]_0;0.69;12;12
28800;112[1]_1;;0;0
28800;113[0]_0;0.57;24;24
28800;113[0]_1;0.59;24;24
28800;113[0]_2;;0;0
28800;113[1][0]_0;0.58;36;24
28800;113[1][0]_1;0.22;24;0
28800;113[1][0]_2;0.15;0;12
28800;114_0;0.14;0;12
28800;114_1;0.25;24;0
28800;115_0;4.14;120;108
28800;115_1;1.25;60;60
28800;116_0;17.84;1632;324
28800;116_1;11.12;0;276
28800;116_2;4.17;0;216
28800;116_3;5.74;0;96
28800;116_4;39.43;0;324
28800;117_0;3.9;156;216
28800;117_1;2.96;144;120
28800;117_2;1.36;84;72
28800;117_3;0.99;24;84
28800;117_4;6.57;348;192
28800;118_0;33.95;1656;324
28800;118_1;44.45;0;360
28800;119_0;2.51;60;96
28800;119_1;0.31;84;12
28800;12_0;5.13;156;132
28800;12_1;4.54;240;120
28800;12_2;3.89;180;180
28800;12_3;5.61;24;60
28800;120.0.24_0;0.9;12;36
28800;120.0.24_1;0.19;48;0
28800;121_0;7.12;720;48
28800;121_1;14.25;0;372
28800;122[0]_0;0.9;0;96
28800;122[0]_1;1.71;0;156
