begin;laneDensity;lane_ids;inflow;outflow
28800;8.28;1_0;300;312
28800;10.43;1_1;360;348
28800;17.18;10_0;300;300
28800;16.05;10_1;360;336
28800;1.41;100_0;72;60
28800;;101_0;0;0
28800;1.11;102_0;48;48
28800;1.48;103[0]_0;60;96
28800;3.07;103[0]_1;132;96
28800;2.36;103[1].2_0;96;108
28800;1.62;103[1].2_1;96;72
28800;2.86;104.5_0;108;120
28800;0.87;104.5_1;72;48
28800;3.13;105_0;96;84
28800;3.82;105_1;48;48
28800;0.88;106_0;36;36
28800;0.65;107_0;24;24
28800;0.26;107_1;12;12
28800;;108_0;0;0
28800;0.32;108_1;12;12
28800;1.35;109_0;48;48
28800;1.06;109_1;36;36
28800;3.31;11_0;60;60
28800;5.45;11_1;96;96
28800;2.28;110_0;72;84
28800;0.62;110_1;36;24
28800;0.73;111_0;48;24
28800;0.11;111_1;0;12
28800;0.48;112[0]_0;12;24
28800;0.12;112[0]_1;36;0
28800;0.69;112[1]_0;12;12
28800;;112[1]_1;0;0
28800;0.57;113[0]_0;24;24
28800;0.59;113[0]_1;24;24
28800;;113[0]_2;0;0
28800;0.58;113[1][0]_0;36;24
28800;0.22;113[1][0]_1;24;0
28800;0.15;113[1][0]_2;0;12
28800;0.14;114_0;0;12
28800;0.25;114_1;24;0
28800;4.14;115_0;120;108
28800;1.25;115_1;60;60
28800;17.84;116_0;1632;324
28800;11.12;116_1;0;276
28800;4.17;116_2;0;216
28800;5.74;116_3;0;96
28800;39.43;116_4;0;324
28800;3.9;117_0;156;216
28800;2.96;117_1;144;120
28800;1.36;117_2;84;72
28800;0.99;117_3;24;84
28800;6.57;117_4;348;192
28800;33.95;118_0;1656;324
28800;44.45;118_1;0;360
28800;2.51;119_0;60;96
28800;0.31;119_1;84;12
28800;5.13;12_0;156;132
28800;4.54;12_1;240;120
28800;3.89;12_2;180;180
28800;5.61;12_3;24;60
28800;0.9;120.0.24_0;12;36
28800;0.19;120.0.24_1;48;0
28800;7.12;121_0;720;48
28800;14.25;121_1;0;372
28800;0.9;122[0]_0;0;96
28800;1.71;122[0]_1;0;156
28800;5.19;122[0]_2;408;72
28800;3.29;122[1]_0;96;204
28800;6.73;122[1]_1;336;276
28800;3.08;122[1]_2;216;120
28800;29.76;123_0;2112;324
28800;20.02;123_1;0;348
28800;18.77;123_2;0;660
28800;;125_0;0;0
28800;;125_1;0;0
28800;5.43;126_0;144;132
28800;3.35;127_0;144;144
28800;0.66;127_1;12;48
28800;3.87;127_2;216;144
28800;0.55;128_0;12;24
28800;3.63;128_1;180;168
28800;19.07;129_0;996;252
28800;48.83;129_1;0;540
28800;3.01;13.1_0;0;168
28800;3.23;13.1_1;0;228
28800;3.93;13.1_2;0;180
28800;4.86;13.1_3;744;24
28800;;130_0;0;0
28800;4.33;130_1;180;180
28800;30.35;131_0;684;156
28800;60.18;131_1;0;336
28800;28.39;132_0;960;336
28800;48.85;132_1;0;468
28800;;133_0;0;0
28800;0.28;133_1;12;12
28800;1.67;134.7_0;60;48
28800;0.68;134.7_1;60;0
28800;0.67;134.7_2;48;36
28800;2.89;135.7_0;132;144
28800;1.19;135.7_1;60;36
28800;;135.7_2;0;0
28800;16.29;136_0;1368;276
28800;27.88;136_1;0;912
28800;0.31;137.5_0;12;12
28800;;137.5_1;0;0
28800;1.02;138_0;72;24
28800;1.78;139_0;84;48
28800;;14.3_0;0;0
28800;2.35;14.3_1;60;60
28800;5;140_0;228;228
28800;3.04;140_1;168;132
28800;1.77;140_2;120;120
28800;3.5;140_3;180;96
28800;38.06;141_0;972;300
28800;31.45;141_1;0;324
28800;4.82;142_0;828;96
28800;15.19;142_1;0;348
28800;6.35;142_2;0;288
28800;3.5;143.4_0;72;108
28800;1.5;143.4_1;144;12
28800;1.71;143.4_2;72;60
28800;0.58;144_0;24;24
28800;;144_1;0;0
28800;2.7;144_2;156;108
28800;7.11;144.283_0;60;264
28800;7.26;144.283_1;372;228
28800;3.1;144.283_2;288;72
28800;1.32;144.312_0;48;60
28800;1.3;144.312_1;60;48
28800;;144.312_2;0;0
28800;62.57;145_0;492;348
28800;1.81;145_1;0;48
28800;;145_2;0;0
28800;4.01;146_0;168;144
28800;4.46;146_1;156;180
28800;46.97;147_0;1800;456
28800;47.55;147_1;0;372
28800;41.17;147_2;0;456
28800;2.64;148_0;132;108
28800;0.18;148_1;0;12
28800;;148_2;0;0
28800;15.07;149_0;444;156
28800;23.79;149_1;384;204
28800;26;149_2;480;396
28800;2.71;15_0;84;60
28800;0.29;15_1;12;12
28800;2.01;150_0;84;84
28800;0.48;150_1;12;24
28800;0.12;150_2;12;0
28800;10.23;151_0;168;96
28800;15.48;151_1;300;72
28800;13.22;151_2;312;108
28800;11.9;151_3;120;96
28800;2.64;152_0;108;72
28800;0.17;152_1;0;12
28800;0;152_2;0;12
28800;;152_3;0;0
28800;1.68;153_0;84;60
28800;2.57;153_1;96;84
28800;1.45;153_2;84;108
28800;3.13;154.7_0;120;120
28800;0.25;154.7_1;24;12
28800;;154.7_2;0;0
28800;0.15;155[0].4_0;24;0
28800;3.59;155[0].4_1;108;72
28800;0.6;155[0].4_2;24;24
28800;2.69;155[0].4_3;96;72
28800;;155[1]_0;0;0
28800;6.52;155[1]_1;300;204
28800;2.06;155[1]_2;24;24
28800;2.45;155[1]_3;72;168
28800;7.78;156[0]_0;96;84
28800;1.91;156[0]_1;36;36
28800;;156[0]_2;0;0
28800;;156[0]_3;0;0
28800;2.13;156[1]_0;84;120
28800;0.78;156[1]_1;36;36
28800;0.37;156[1]_2;0;0
28800;0.13;156[1]_3;36;0
28800;4.39;157_0;192;204
28800;0.63;157_1;24;24
28800;2.92;157_2;168;132
28800;1.5;158_0;0;96
28800;1.86;158_1;144;48
28800;0.79;158_2;48;0
28800;1.81;16_0;36;60
28800;0.72;16_1;72;24
28800;1.24;161_0;48;60
28800;1.01;161_1;48;24
28800;11.41;163_0;180;180
28800;0.54;164_0;24;24
28800;9.76;165_0;300;228
28800;1.41;165_1;0;36
28800;;166_0;0;0
28800;;166_1;0;0
28800;24.29;167_0;168;156
28800;2.39;167_1;60;60
28800;1.99;168_0;12;0
28800;;168_1;0;0
28800;1.31;17_0;72;12
28800;0.62;17_1;12;72
28800;;172_0;0;0
28800;3.35;173_0;12;12
28800;;173_1;0;0
28800;3.01;175_0;120;120
28800;1.54;175_1;60;60
28800;1.65;18_0;72;36
28800;1.73;18_1;48;60
28800;;181[1][1][0].32.3_0;0;0
28800;1.39;181[1][1][0].32.3_1;336;0
28800;9.73;181[1][1][0].32.3_2;132;168
28800;10.55;181[1][1][0].32.3_3;264;540
28800;;181[1][1][1][0]_0;0;0
28800;;181[1][1][1][0]_1;0;0
28800;0.32;181[1][1][1][0]_2;12;12
28800;12.42;181[1][1][1][0]_3;432;432
28800;;181[1][1][1][1][0]_0;0;0
28800;;181[1][1][1][1][0]_1;0;0
28800;0.41;181[1][1][1][1][0]_2;12;12
28800;12;181[1][1][1][1][0]_3;432;432
28800;;181[1][1][1][1][1][0]_0;0;0
28800;;181[1][1][1][1][1][0]_1;0;0
28800;0.32;181[1][1][1][1][1][0]_2;12;12
28800;0.67;181[1][1][1][1][1][0]_3;24;24
28800;;181[1][1][1][1][1][0].76_0;0;0
28800;63.43;181[1][1][1][1][1][0].76_1;312;276
28800;16.81;181[1][1][1][1][1][0].76_2;288;156
28800;16.06;181[1][1][1][1][1][0].76_3;672;684
28800;7.26;182_0;192;180
28800;5.56;182_1;144;144
28800;0.3;183.8_0;12;12
28800;0.92;183.8_1;36;36
28800;2.07;184_0;0;72
28800;4.81;184_1;360;180
28800;;185_0;0;0
28800;;186_0;0;0
28800;;186_1;0;0
28800;;187_0;0;0
28800;;19_0;0;0
28800;;19_1;0;0
28800;1.61;2_0;96;60
28800;2.27;2_1;60;96
28800;3.09;20_0;36;144
28800;1.38;20_1;144;36
28800;;21_0;0;0
28800;;21_1;0;0
28800;1.87;22_0;72;60
28800;;22_1;0;0
28800;;24_0;0;0
28800;;24_1;0;0
28800;0.84;25[0]_0;36;36
28800;;25[0]_1;0;0
28800;0.48;25[1]_0;36;12
28800;0.17;25[1]_1;0;12
28800;7.82;26_0;144;120
28800;23.41;26_1;636;216
28800;0.01;27_0;12;0
28800;0.03;27_1;0;0
28800;7.16;28_0;108;180
28800;10.47;28_1;456;240
28800;2.84;29_0;96;84
28800;0.2;29_1;0;12
28800;15.56;30_0;300;264
28800;8.15;30_1;120;156
28800;1.22;31_0;84;36
28800;1.07;31_1;24;36
28800;11;32_0;192;288
28800;11.3;32_1;660;288
28800;4.5;33_0;204;84
28800;1.03;33_1;0;84
28800;17.13;34_0;480;276
28800;12.43;34_1;360;276
28800;3.44;35_0;72;180
28800;13.27;35_1;240;372
28800;1.92;35_2;132;0
28800;7.82;35_3;324;312
28800;4;35_4;348;156
28800;2.42;37[0]_0;84;96
28800;2.16;37[0]_1;108;96
28800;19.02;38.9_0;552;408
28800;14.62;38.9_1;348;384
28800;7.48;39.68_0;324;300
28800;2.93;39.68_1;144;120
