time,lane_ids,laneDensity,inflow,outflow
21600,1_0,5.84,216,264
21600,1_1,10.38,372,312
21600,10_0,15.99,264,264
21600,10_1,14.33,312,288
21600,100_0,0.83,36,36
21600,101_0,0.53,24,24
21600,102_0,1.97,84,84
21600,103[0]_0,2.97,132,120
21600,103[0]_1,2.96,120,132
21600,103[1].2_0,3.74,168,156
21600,103[1].2_1,3.13,132,144
21600,104.5_0,3.3,144,120
21600,104.5_1,1.72,132,60
21600,105_0,1.51,48,24
21600,105_1,2.26,48,60
21600,106_0,1.09,48,48
21600,107_0,0.83,36,36
21600,107_1,6.32,60,48
21600,108_0,16.62,12,12
21600,108_1,32.81,36,24
21600,109_0,1.23,48,48
21600,109_1,0.25,12,12
21600,11_0,6.84,84,72
21600,11_1,16.63,144,156
21600,110_0,1.06,72,36
21600,110_1,0.78,12,36
21600,111_0,1.74,96,36
21600,111_1,0.81,24,60
21600,112[0]_0,1.51,60,84
21600,112[0]_1,0.84,48,12
21600,112[1]_0,0.51,24,24
21600,112[1]_1,0.41,12,12
21600,113[0]_0,0.46,24,24
21600,113[0]_1,0,0,0
21600,113[0]_2,1.12,36,36
21600,113[1][0]_0,1.37,84,60
21600,113[1][0]_1,0.21,0,0
21600,113[1][0]_2,0.08,24,0
21600,114_0,0,0,0
21600,114_1,0,0,0
21600,115_0,4.92,180,120
21600,115_1,5.15,108,156
21600,116_0,15.32,1620,300
21600,116_1,8.63,0,228
21600,116_2,4.88,0,120
21600,116_3,9.85,0,108
21600,116_4,50.84,0,324
21600,117_0,4.18,168,204
21600,117_1,2.27,120,84
21600,117_2,1.65,72,96
21600,117_3,1.28,48,120
21600,117_4,6.26,324,180
21600,118_0,41.48,1836,264
21600,118_1,50.51,0,324
21600,119_0,2.36,72,108
21600,119_1,0.85,120,24
21600,12_0,8.51,312,228
21600,12_1,4.93,300,156
21600,12_2,3.17,132,132
21600,12_3,1.8,0,108
21600,120.0.24_0,1.15,24,48
21600,120.0.24_1,0.26,48,0
21600,121_0,7.29,708,60
21600,121_1,14.24,0,240
21600,122[0]_0,0.74,0,132
21600,122[0]_1,2,0,156
21600,122[0]_2,4.73,372,48
21600,122[1]_0,3.6,132,192
21600,122[1]_1,5.67,300,204
21600,122[1]_2,2.46,156,120
21600,123_0,16.44,2076,492
21600,123_1,23.47,0,288
21600,123_2,30.17,0,636
21600,125_0,0.24,12,12
21600,125_1,0,0,0
21600,126_0,6.98,108,84
21600,127_0,2.08,96,72
21600,127_1,0.6,0,84
21600,127_2,3.67,192,120
21600,128_0,0.29,12,12
21600,128_1,1.4,72,48
21600,129_0,21.55,996,252
21600,129_1,64.6,0,576
21600,13.1_0,4.26,0,312
21600,13.1_1,4.06,0,288
21600,13.1_2,4.6,12,144
21600,13.1_3,5.26,876,0
21600,130_0,0,0,0
21600,130_1,2.96,132,132
21600,131_0,34.05,744,204
21600,131_1,78.19,0,372
21600,132_0,44.88,1008,348
21600,132_1,62.32,0,408
21600,133_0,0.51,24,24
21600,133_1,0,0,0
21600,134.7_0,0,0,0
21600,134.7_1,0.04,0,0
21600,134.7_2,0.04,12,0
21600,135.7_0,2.79,144,120
21600,135.7_1,1.4,72,60
21600,135.7_2,0,0,0
21600,136_0,13.09,1392,228
21600,136_1,28.58,0,1020
21600,137.5_0,0.82,36,36
21600,137.5_1,0,0,0
21600,138_0,1.15,72,36
21600,139_0,1.85,96,48
21600,14.3_0,0.31,12,12
21600,14.3_1,0.3,24,0
21600,140_0,4.82,216,228
21600,140_1,3.43,168,144
21600,140_2,2.88,108,216
21600,140_3,5.63,276,144
21600,141_0,21.87,972,528
21600,141_1,11.88,0,348
21600,142_0,6.76,720,180
21600,142_1,10.97,0,300
21600,142_2,2.44,0,156
21600,143.4_0,5.07,84,72
21600,143.4_1,1.82,120,24
21600,143.4_2,0.76,24,36
21600,144_0,0.73,24,36
21600,144_1,0.54,36,12
21600,144_2,3.24,156,132
21600,144.283_0,7.65,36,264
21600,144.283_1,9.59,456,240
21600,144.283_2,4.94,276,180
21600,144.312_0,0.95,48,36
21600,144.312_1,2.17,72,72
21600,144.312_2,0,0,0
21600,145_0,12.38,348,240
21600,145_1,2.4,0,84
21600,145_2,0,0,0
21600,146_0,2.29,108,84
21600,146_1,2.88,96,120
21600,147_0,53.32,1824,360
21600,147_1,57.52,0,348
21600,147_2,45.51,0,372
21600,148_0,2.17,108,96
21600,148_1,0.98,48,48
21600,148_2,0.58,24,24
21600,149_0,10.64,372,168
21600,149_1,13.48,324,240
21600,149_2,18.43,372,432
21600,15_0,1.56,48,0
21600,15_1,0.31,0,0
21600,150_0,4.13,144,120
21600,150_1,1.66,60,48
21600,150_2,0.67,48,24
21600,151_0,8.35,288,312
21600,151_1,9.52,324,24
21600,151_2,10.18,372,276
21600,151_3,11.71,120,240
21600,152_0,4.69,228,120
21600,152_1,1.25,24,36
21600,152_2,0.49,0,60
21600,152_3,0,0,0
21600,153_0,4.72,288,0
21600,153_1,7.18,276,360
21600,153_2,3.3,180,228
21600,154.7_0,4.37,216,228
21600,154.7_1,1.1,72,24
21600,154.7_2,0.06,12,0
21600,155[0].4_0,0,0,0
21600,155[0].4_1,10.6,360,180
21600,155[0].4_2,6.03,144,156
21600,155[0].4_3,3.64,96,132
21600,155[1]_0,0,0,0
21600,155[1]_1,12.93,540,432
21600,155[1]_2,6.2,156,156
21600,155[1]_3,3.75,132,216
21600,156[0]_0,5.98,144,120
21600,156[0]_1,9.48,72,36
21600,156[0]_2,2.82,24,84
21600,156[0]_3,0,0,0
21600,156[1]_0,3.76,120,240
21600,156[1]_1,2.01,48,72
21600,156[1]_2,1.16,72,12
21600,156[1]_3,0.06,84,0
21600,157_0,9.64,420,420
21600,157_1,2.44,144,48
21600,157_2,3.55,204,156
21600,158_0,1.37,0,132
21600,158_1,2.98,180,84
21600,158_2,0.95,60,24
21600,16_0,1.75,12,72
21600,16_1,0.36,60,0
21600,161_0,3.54,120,156
21600,161_1,1.07,72,36
21600,163_0,2.72,48,48
21600,164_0,1.78,72,72
21600,165_0,35.79,600,360
21600,165_1,4.38,0,84
21600,166_0,0.26,12,12
21600,166_1,0,0,0
21600,167_0,32.33,180,168
21600,167_1,25.08,156,144
21600,168_0,0,0,0
21600,168_1,0,0,0
21600,17_0,0.82,48,12
21600,17_1,0.13,0,24
21600,172_0,0,0,0
21600,173_0,0,0,0
21600,173_1,0,0,0
21600,175_0,5.14,204,216
21600,175_1,2,84,72
21600,18_0,1.03,24,36
21600,18_1,1.93,96,24
21600,181[1][1][0].32.3_0,0.87,36,36
21600,181[1][1][0].32.3_1,1.02,276,0
21600,181[1][1][0].32.3_2,8.21,72,144
21600,181[1][1][0].32.3_3,10.39,324,516
21600,181[1][1][1][0]_0,1.17,36,36
21600,181[1][1][1][0]_1,0,0,0
21600,181[1][1][1][0]_2,0.97,24,24
21600,181[1][1][1][0]_3,11.87,396,396
21600,181[1][1][1][1][0]_0,1.13,36,36
21600,181[1][1][1][1][0]_1,0,0,0
21600,181[1][1][1][1][0]_2,0.92,24,24
21600,181[1][1][1][1][0]_3,11.42,396,396
21600,181[1][1][1][1][1][0]_0,1.16,36,36
21600,181[1][1][1][1][1][0]_1,0,0,0
21600,181[1][1][1][1][1][0]_2,0.96,24,24
